id,title,overview,popularity,poster,genre_ids,vote_avg,keywords
1539104,JUJUTSU KAISEN: Execution,"A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc.",0.1311773477157982,/v0s3dx6am0RzfsuK3KdEy8ZoCDs.jpg,"[16, 28]",0.5599999999999999,"['compilation', 'based on manga', 'edited from tv series', 'shounen', 'anime', 'distressing']"
1247002,The Old Woman with the Knife,"Aging assassin Hornclaw has seen it all, but she never expected to mentor a reckless rookie like Bullfight. As their unlikely bond deepens, cracks form in the underworld they navigate together. When Hornclaw discovers someone wants her dead, she's thrust into a deadly game of deception. With enemies closing in and trust in short supply, survival means staying sharp—both blade and mind.",0.13451037484754394,/wbmxnsv41vsg5UEaNDlf203dOWw.jpg,"[28, 9648, 18]",0.65,['based on novel or book']
1205229,Night of the Zoopocalypse,A wolf and mountain lion team up when a meteor unleashes a virus turning zoo animals into zombies. They join forces with other survivors to rescue the zoo and stop the deranged mutant leader from spreading the virus.,0.13495655430374168,/nCejOVZcOxKS27nnbh28NKXOdXF.jpg,"[16, 35, 27, 12, 878]",0.661,"['aftercreditsstinger', 'horror for children', 'animated horror']"
76600,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",0.1355083047550626,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,"[28, 12, 878]",0.7604000000000001,"['dying and death', 'loss of loved one', 'alien life-form', 'resurrection', 'dysfunctional family', 'sequel', 'alien planet', 'distant future', 'adopted child', 'rebirth', 'family dynamics', 'adopted son', 'stronger villain', 'war', 'awestruck', 'modest']"
1491902,Bang,"Follows a ruthless hitman who, after narrowly escaping a fatal attempt on his life, betrays his gang in an effort to find forgiveness but ends up becoming a target himself.",0.1391654877252663,/8SUzKOqe2ectvhYdSnR7Vq2F3n1.jpg,"[28, 53]",0.63,['hitman']
7451,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",0.11324183455360218,/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,"[28, 12, 53, 80, 18]",0.5982999999999999,"['mission', 'biological weapon', 'sports car', 'cold war', 'prague, czech republic', 'nsa agent', 'adrenaline junkie', 'thrill seeker']"
1223601,Sisu: Road to Revenge,"Returning to the house where his family was brutally murdered during the war, ""the man who refuses to die"" dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues.",0.12118296706988,/jNsttCWZyPtW66MjhUozBzVsRb7.jpg,"[28, 10752]",0.7467,"['sequel', 'karelia', 'hilarious', 'amused', 'enraged', 'venganza', 'secuela']"
772462,Don't Follow Me,"Obsessed with going viral with her videos of ghosts and paranormal events, aspiring influencer Carla moves into a famous haunted building. There, she begins faking ghostly apparitions to gain more followers, unaware that a real evil entity resides in her apartment and will torment her until no one, not even she, can distinguish what's real and what isn't.",0.10912613266023828,/wBYicLV0zfdtXweWXcoiou3moNu.jpg,"[27, 9648]",0.6339000000000001,"['sacrifice', 'supernatural', 'haunted house', 'cult', 'evil spirit', 'satanic ritual', 'social media', 'social media influencer', 'supernatural horror', 'horror', 'influencer']"
19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",0.11547194837637098,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,"[28, 12, 14, 878]",0.76,"['paraplegic', 'attachment to nature', 'culture clash', 'indigenous', 'space travel', 'space colony', 'tribe', 'alien planet', 'distant future', 'marine', 'battle', 'love affair', 'scientist', 'nature', 'native peoples', 'power relations', 'tribal customs', 'tribal people', 'tribal chief', 'cryonics', 'spiritual community', '22nd century', 'save the planet', 'racial discrimination', 'soldiers', 'awestruck', 'bold', 'exhilarated']"
840464,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",0.12264000349422369,/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg,"[28, 12, 53, 878]",0.6900000000000001,"['natural disaster', 'shelter', 'survival', 'disaster', 'intense']"
1327881,Voice of Shadows,A young working class woman stands to inherit an estate if she and her boyfriend abide by a set of bizarre stipulations.,0.12144366279253108,/hffZQgrulC6jgneLuTANQrYgiui.jpg,"[27, 9648, 53]",0.47000000000000003,"['gothic horror', 'vengeful ghost', 'catholic priest']"
1196067,Worldbreaker,"Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe.",0.11396437889684777,/7K8w6mdrJp0oaSoKWGyjSZ4Zv2z.jpg,"[878, 28, 27]",0.6259000000000001,"['monster', 'climate change', 'global warming']"
